sanctionCountry,sanctionedName,sanctionReason,sanctionList,sdnType
Mexico,LECHUGA LICONA,Sanctioned by OFAC,OFAC,Individual
Mexico,LORMENDEZ PITALUA,Sanctioned by OFAC,OFAC,Individual
Mexico,IBARRA YEPIS,Sanctioned by OFAC,OFAC,Individual
Mexico,DAVILA LOPEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,HERNANDEZ LECHUGA,Sanctioned by OFAC,OFAC,Individual
Mexico,RANGEL BUENDIA,Sanctioned by OFAC,OFAC,Individual
Mexico,GALARZA CORONADO,Sanctioned by OFAC,OFAC,Individual
Mexico,MENDOZA CONTRERAS,Sanctioned by OFAC,OFAC,Individual
Mexico,HERNANDEZ BARRON,Sanctioned by OFAC,OFAC,Individual
Mexico,PEREZ ROJAS,Sanctioned by OFAC,OFAC,Individual
Mexico,TORRES SOSA,Sanctioned by OFAC,OFAC,Individual
Mexico,MATEO LAUREANO,Sanctioned by OFAC,OFAC,Individual
Mexico,MEDINA ROJAS,Sanctioned by OFAC,OFAC,Individual
Mexico,LOPEZ TREJO,Sanctioned by OFAC,OFAC,Individual
Mexico,RUIZ TLAPANCO,Sanctioned by OFAC,OFAC,Individual
Mexico,VALENZUELA ZUNIGA,Sanctioned by OFAC,OFAC,Individual
Mexico,MURO GONZALEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,REYES ENRIQUEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,SOTO PARRA,Sanctioned by OFAC,OFAC,Individual
Mexico,PEREZ MANCILLA,Sanctioned by OFAC,OFAC,Individual
Mexico,GUERRA RAMIREZ,Sanctioned by OFAC,OFAC,Individual
Mexico,MENDEZ SANTIAGO,Sanctioned by OFAC,OFAC,Individual
Mexico,GONZALEZ CASTRO,Sanctioned by OFAC,OFAC,Individual
Mexico,VERA CALVA,Sanctioned by OFAC,OFAC,Individual
Mexico,GERESANO ESCRIBANO,Sanctioned by OFAC,OFAC,Individual
Mexico,MELLADO CRUZ,Sanctioned by OFAC,OFAC,Individual
Mexico,ESTRADA GONZALEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,GONZALEZ PIZANA JR.,Sanctioned by OFAC,OFAC,Individual
Mexico,ROMO LOPEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,MONTES SERMENO,Sanctioned by OFAC,OFAC,Individual
Mexico,VASQUEZ MIRELES,Sanctioned by OFAC,OFAC,Individual
Mexico,DIAZ LOPEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,GONZALEZ DURAN,Sanctioned by OFAC,OFAC,Individual
Mexico,SAUCEDA GAMBOA,Sanctioned by OFAC,OFAC,Individual
Unknown,SELEK,Sanctioned by OFAC,OFAC,Individual
Pakistan,MAZHAR,Sanctioned by OFAC,OFAC,Individual
Pakistan,RAHIM,Sanctioned by OFAC,OFAC,Individual
Unknown,NA TCHUTO,Sanctioned by OFAC,OFAC,Individual
Unknown,CAMARA,Sanctioned by OFAC,OFAC,Individual
"Congo, Democratic Republic of the",NTAGANDA,Sanctioned by OFAC,OFAC,Individual
Unknown,LUBANGA,Sanctioned by OFAC,OFAC,Individual
Unknown,KATANGA,Sanctioned by OFAC,OFAC,Individual
Unknown,NGUDJOLO,Sanctioned by OFAC,OFAC,Individual
Rwanda,MUTEBUTSI,Sanctioned by OFAC,OFAC,Individual
Guatemala,LORENZANA CORDON,Sanctioned by OFAC,OFAC,Individual
Guatemala,LORENZANA LIMA,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-RIMI,Sanctioned by OFAC,OFAC,Individual
Unknown,CONTE,Sanctioned by OFAC,OFAC,Individual
Unknown,BANDO,Sanctioned by OFAC,OFAC,Individual
Unknown,BELKALEM,Sanctioned by OFAC,OFAC,Individual
Unknown,NAIL,Sanctioned by OFAC,OFAC,Individual
Mexico,ALVAREZ ALVAREZ,Sanctioned by OFAC,OFAC,Individual
Mexico,MEJIA GUTIERREZ,Sanctioned by OFAC,OFAC,Individual
Mexico,MEGA EMPACADORA DE FRUTAS S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,IMPORTACIONES Y EXPORTACIONES NOBARO S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Belarus,ONERBANK ZAO,Sanctioned by OFAC,OFAC,Entity
"Congo, Democratic Republic of the",KAKWAVU BUKANDE,Sanctioned by OFAC,OFAC,Individual
Iran,JAVEDAN MEHR TOOS,Sanctioned by OFAC,OFAC,Entity
Iran,MSP KALA NAFT CO. TEHRAN,Sanctioned by OFAC,OFAC,Entity
Iran,ISLAMIC REVOLUTIONARY GUARD CORPS AIR FORCE,Sanctioned by OFAC,OFAC,Entity
Iran,ISLAMIC REVOLUTIONARY GUARD CORPS AL-GHADIR MISSILE COMMAND,Sanctioned by OFAC,OFAC,Entity
Iran,NAQDI,Sanctioned by OFAC,OFAC,Individual
Iran,RAH SAHEL INSTITUTE,Sanctioned by OFAC,OFAC,Entity
Iran,SEPANIR OIL AND GAS ENGINEERING COMPANY,Sanctioned by OFAC,OFAC,Entity
Iran,VAHIDI,Sanctioned by OFAC,OFAC,Individual
Iran,JAFARI,Sanctioned by OFAC,OFAC,Individual
Iran,MAHAB GHODSS CONSULTING ENGINEERING COMPANY,Sanctioned by OFAC,OFAC,Entity
Mexico,AUTOTRANSPORTES JYM S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,ARTE Y DISENO DE CULIACAN S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Colombia,RAMIREZ DUQUE,Sanctioned by OFAC,OFAC,Individual
Unknown,CASTRO JARAMILLO,Sanctioned by OFAC,OFAC,Individual
Mexico,RODRIGUEZ FERNANDEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,"MASA FACIL, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Colombia,COMERCIALIZADORA DE GANADO Y RENTAS DE CAPITAL S.A.,Sanctioned by OFAC,OFAC,Entity
Unknown,AL-AULAQI,Sanctioned by OFAC,OFAC,Individual
Unknown,UMAROV,Sanctioned by OFAC,OFAC,Individual
Iran,IRANIAN MINISTRY OF INTELLIGENCE AND SECURITY,Sanctioned by OFAC,OFAC,Entity
Unknown,MUSAVI,Sanctioned by OFAC,OFAC,Individual
Iran,MORTEZAVI,Sanctioned by OFAC,OFAC,Individual
Lebanon,ZAHEDI,Sanctioned by OFAC,OFAC,Individual
Lebanon,IMAM KHOMEINI RELIEF COMMITTEE (LEBANON BRANCH),Sanctioned by OFAC,OFAC,Entity
Unknown,ZURAIK,Sanctioned by OFAC,OFAC,Individual
Unknown,ALLAHDAD,Sanctioned by OFAC,OFAC,Individual
Lebanon,IRANIAN COMMITTEE FOR THE RECONSTRUCTION OF LEBANON,Sanctioned by OFAC,OFAC,Entity
Unknown,ISHAKZAI,Sanctioned by OFAC,OFAC,Individual
Unknown,HAQQANI,Sanctioned by OFAC,OFAC,Individual
Unknown,ABU-AL-KHAYR,Sanctioned by OFAC,OFAC,Individual
Pakistan,KASHMIRI,Sanctioned by OFAC,OFAC,Individual
Afghanistan,HARAKAT-UL JIHAD ISLAMI,Sanctioned by OFAC,OFAC,Entity
Mexico,AMAYA ALEMAN,Sanctioned by OFAC,OFAC,Individual
Mexico,WIDOBLO HERNANDEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,OLVERA ESTRADA,Sanctioned by OFAC,OFAC,Individual
Mexico,FLORES CACHO,Sanctioned by OFAC,OFAC,Individual
Mexico,MASSA CAMACHO,Sanctioned by OFAC,OFAC,Individual
Mexico,DUARTE TORRES,Sanctioned by OFAC,OFAC,Individual
Mexico,TORO DIAZ,Sanctioned by OFAC,OFAC,Individual
Mexico,URREA LENIS,Sanctioned by OFAC,OFAC,Individual
Mexico,GONZALEZ MEDINA,Sanctioned by OFAC,OFAC,Individual
Mexico,COBO LEDESMA,Sanctioned by OFAC,OFAC,Individual
Mexico,RODARTE GRIJALVA,Sanctioned by OFAC,OFAC,Individual
Mexico,JASSO ROCHA,Sanctioned by OFAC,OFAC,Individual
Mexico,GARCIA SANCHEZ,Sanctioned by OFAC,OFAC,Individual
Colombia,COMERCIALIZADORA GONRA,Sanctioned by OFAC,OFAC,Entity
Mexico,GRUPO HORTA ZAVALA S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,COPY RED S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,CIRCUITO ELECTRONICO S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,GRUPO CRISTAL CORONA S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,AERO EXPRESS INTERCONTINENTAL S.A. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,CAPACITACION AERONAUTICA PROFESIONAL S.C.,Sanctioned by OFAC,OFAC,Entity
Mexico,"MANTENIMIENTO, AERONAUTICA, TRANSPORTE, Y SERVICIOS AEREOS S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,CLUB DEPORTIVO OJOS NEGROS A.C.,Sanctioned by OFAC,OFAC,Entity
Mexico,GENETICA IMPORT-EXPORT S.P.R. DE R.L. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,GENETICA GANADERA RANCHO ALEJANDRA S.P.R. DE R. L. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Pakistan,TEHRIK-E TALIBAN PAKISTAN (TTP),Sanctioned by OFAC,OFAC,Entity
"Korea, North",OFFICE 39,Sanctioned by OFAC,OFAC,Entity
"Korea, North",RECONNAISSANCE GENERAL BUREAU,Sanctioned by OFAC,OFAC,Entity
"Korea, North",GREEN PINE ASSOCIATED CORPORATION,Sanctioned by OFAC,OFAC,Entity
"Korea, North",SECOND ECONOMIC COMMITTEE,Sanctioned by OFAC,OFAC,Entity
"Korea, North",MUNITIONS INDUSTRY DEPARTMENT,Sanctioned by OFAC,OFAC,Entity
"Korea, North",SECOND ACADEMY OF NATURAL SCIENCES,Sanctioned by OFAC,OFAC,Entity
"Korea, North",RI,Sanctioned by OFAC,OFAC,Individual
"Korea, North",KOREA TAESONG TRADING COMPANY,Sanctioned by OFAC,OFAC,Entity
"Korea, North",KOREA HEUNGJIN TRADING COMPANY,Sanctioned by OFAC,OFAC,Entity
Unknown,RADAN,Sanctioned by OFAC,OFAC,Individual
Unknown,MOHSENI-EJEI,Sanctioned by OFAC,OFAC,Individual
Unknown,MAHSOULI,Sanctioned by OFAC,OFAC,Individual
Unknown,MORTAZAVI,Sanctioned by OFAC,OFAC,Individual
Iran,MOSLEHI,Sanctioned by OFAC,OFAC,Individual
Unknown,NAJJAR,Sanctioned by OFAC,OFAC,Individual
Unknown,TAEB,Sanctioned by OFAC,OFAC,Individual
Mexico,"LORENA DEL MAR, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"FLORBEL OPERADORA DE RESTAURANTES, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"TATES DESARROLLO, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"JR CONTROLADORA DE RESTAURANTES, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Unknown,KAKAR,Sanctioned by OFAC,OFAC,Individual
Pakistan,AL REHMAT TRUST,Sanctioned by OFAC,OFAC,Entity
Mexico,LLANOS GAZIA,Sanctioned by OFAC,OFAC,Individual
Mexico,"AUDIO ALARMAS, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"BASALTOS TONALA, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Iran,JAYSH AL-ADL,Sanctioned by OFAC,OFAC,Entity
Ecuador,GOMEZ ORTIZ,Sanctioned by OFAC,OFAC,Individual
Mexico,ALVAREZ ZEPEDA,Sanctioned by OFAC,OFAC,Individual
"Korea, North",KOREA DAESONG BANK,Sanctioned by OFAC,OFAC,Entity
"Korea, North",KOREA DAESONG GENERAL TRADING CORPORATION,Sanctioned by OFAC,OFAC,Entity
Colombia,FLOREZ SEPULVEDA,Sanctioned by OFAC,OFAC,Individual
Unknown,NSANZUBUKIRE,Sanctioned by OFAC,OFAC,Individual
Unknown,ZIMURINDA,Sanctioned by OFAC,OFAC,Individual
"Congo, Democratic Republic of the",IYAMUREMYE,Sanctioned by OFAC,OFAC,Individual
"Congo, Democratic Republic of the",MUGARAGU,Sanctioned by OFAC,OFAC,Individual
Pakistan,RAUF,Sanctioned by OFAC,OFAC,Individual
Ecuador,GESTORES DEL ECUADOR GESTORUM S.A.,Sanctioned by OFAC,OFAC,Entity
Pakistan,AFRIDI,Sanctioned by OFAC,OFAC,Individual
Unknown,UR-REHMAN,Sanctioned by OFAC,OFAC,Individual
Unknown,AZHAR,Sanctioned by OFAC,OFAC,Individual
Colombia,MOLANO TORRES,Sanctioned by OFAC,OFAC,Individual
Colombia,SANCHEZ REY,Sanctioned by OFAC,OFAC,Individual
Colombia,SERRALDE PLAZA,Sanctioned by OFAC,OFAC,Individual
Colombia,DORIA CASTILLO,Sanctioned by OFAC,OFAC,Individual
Colombia,MELRUX RICA S PIZZA,Sanctioned by OFAC,OFAC,Entity
Colombia,AMG RICAS PIZZA,Sanctioned by OFAC,OFAC,Entity
Venezuela,"OBRAS, SERVICIOS Y MANTENIMIENTOS C.A.",Sanctioned by OFAC,OFAC,Entity
Colombia,INVERSIONES MINERAS H.D. EMPRESA UNIPERSONAL,Sanctioned by OFAC,OFAC,Entity
Colombia,CIA. AGROINDUSTRIAL PALMERA S.A.,Sanctioned by OFAC,OFAC,Entity
Colombia,7 KARNES,Sanctioned by OFAC,OFAC,Entity
The Gambia,TAJCO,Sanctioned by OFAC,OFAC,Entity
Angola,GOLFRATE HOLDINGS (ANGOLA) LDA,Sanctioned by OFAC,OFAC,Entity
"Congo, Democratic Republic of the",CONGO FUTUR,Sanctioned by OFAC,OFAC,Entity
The Gambia,KAIRABA SUPERMARKET,Sanctioned by OFAC,OFAC,Entity
Lebanon,OVLAS TRADING S.A.,Sanctioned by OFAC,OFAC,Entity
Angola,GRUPO AROSFRAN EMPREENDIMENTOS E PARTICIPACOES SARL,Sanctioned by OFAC,OFAC,Entity
Angola,AFRI BELG COMMERCIO E INDUSTRIA LDA,Sanctioned by OFAC,OFAC,Entity
Brazil,WEHBE,Sanctioned by OFAC,OFAC,Individual
Lebanon,KHARROUBI,Sanctioned by OFAC,OFAC,Individual
Lebanon,ELLISSA HOLDING,Sanctioned by OFAC,OFAC,Entity
Lebanon,SOLMAR,Sanctioned by OFAC,OFAC,Entity
Benin,ELLISSA GROUP SA,Sanctioned by OFAC,OFAC,Entity
Benin,AGROPHEN,Sanctioned by OFAC,OFAC,Entity
Benin,ELLISSA SHIPPING,Sanctioned by OFAC,OFAC,Entity
Benin,YAMEN BENIN SARL,Sanctioned by OFAC,OFAC,Entity
Benin,ELLISSA PARC COTONOU,Sanctioned by OFAC,OFAC,Entity
Benin,ELLISSA MEGASTORE,Sanctioned by OFAC,OFAC,Entity
Colombia,ALMACEN JUNIOR,Sanctioned by OFAC,OFAC,Entity
Colombia,ALMACEN JUNIOR NO. 2,Sanctioned by OFAC,OFAC,Entity
Colombia,COMERCIAL PLANETA,Sanctioned by OFAC,OFAC,Entity
"Congo, Republic of the",SOCIETE ELLISSA GROUP CONGO,Sanctioned by OFAC,OFAC,Entity
Iran,PARS OIL AND GAS COMPANY,Sanctioned by OFAC,OFAC,Entity
Iran,BONYAD TAAVON SEPAH,Sanctioned by OFAC,OFAC,Entity
Iran,ANSAR BANK,Sanctioned by OFAC,OFAC,Entity
Iran,LINER TRANSPORT KISH,Sanctioned by OFAC,OFAC,Entity
Iran,MEHR BANK,Sanctioned by OFAC,OFAC,Entity
Mexico,LOS GUEROS,Sanctioned by OFAC,OFAC,Entity
Mexico,RODRIGUEZ OLIVERA,Sanctioned by OFAC,OFAC,Individual
Iran,SHAHID AHMAD KAZEMI INDUSTRIES GROUP,Sanctioned by OFAC,OFAC,Entity
Iran,M. BABAIE INDUSTRIES,Sanctioned by OFAC,OFAC,Entity
Mexico,AVENDANO OJEDA,Sanctioned by OFAC,OFAC,Individual
Mexico,AUTODROMO CULIACAN RACE PARK,Sanctioned by OFAC,OFAC,Entity
Mexico,AUTOS MINI,Sanctioned by OFAC,OFAC,Entity
Lebanon,KHAROUBI,Sanctioned by OFAC,OFAC,Individual
Lebanon,AYACHE,Sanctioned by OFAC,OFAC,Individual
Lebanon,AYASH,Sanctioned by OFAC,OFAC,Individual
Lebanon,JOUMAA,Sanctioned by OFAC,OFAC,Individual
Lebanon,JOUMAA MONEY LAUNDERING ORGANIZATION / DRUG TRAFFICKING ORGANIZATION,Sanctioned by OFAC,OFAC,Entity
Lebanon,PHENICIA SHIPPING OFFSHORE SARL,Sanctioned by OFAC,OFAC,Entity
Lebanon,ELLISSA EXCHANGE COMPANY,Sanctioned by OFAC,OFAC,Entity
Lebanon,HASSAN AYASH EXCHANGE COMPANY,Sanctioned by OFAC,OFAC,Entity
Panama,GOLDI ELECTRONICS S.A.,Sanctioned by OFAC,OFAC,Entity
Lebanon,NEW LINE EXCHANGE TRUST CO.,Sanctioned by OFAC,OFAC,Entity
Turkey,MACPAR MAKINA SAN VE TIC A.S.,Sanctioned by OFAC,OFAC,Entity
Turkey,STEP A.S.,Sanctioned by OFAC,OFAC,Entity
Turkey,MULTIMAT IC VE DIS TICARET PAZARLAMA LIMITED SIRKETI,Sanctioned by OFAC,OFAC,Entity
Iran,CARVANA COMPANY,Sanctioned by OFAC,OFAC,Entity
Iran,MACHINE PARDAZAN CO.,Sanctioned by OFAC,OFAC,Entity
Iran,FALSAFI,Sanctioned by OFAC,OFAC,Individual
Unknown,DURANSOY,Sanctioned by OFAC,OFAC,Individual
Unknown,'ABD AL-SALAM,Sanctioned by OFAC,OFAC,Individual
Unknown,KARTAL,Sanctioned by OFAC,OFAC,Individual
Unknown,BAYIK,Sanctioned by OFAC,OFAC,Individual
Unknown,KALKAN,Sanctioned by OFAC,OFAC,Individual
Unknown,OK,Sanctioned by OFAC,OFAC,Individual
Unknown,UZUN,Sanctioned by OFAC,OFAC,Individual
United Arab Emirates,GREEN LEAF GENERAL TRADING LLC,Sanctioned by OFAC,OFAC,Entity
Afghanistan,NEW ANSARI MONEY EXCHANGE,Sanctioned by OFAC,OFAC,Entity
Afghanistan,NEW ANSARI LTD,Sanctioned by OFAC,OFAC,Entity
United Arab Emirates,AL ADAL EXCHANGE,Sanctioned by OFAC,OFAC,Entity
United Arab Emirates,CONNECT TELECOM GENERAL TRADING LLC,Sanctioned by OFAC,OFAC,Entity
Afghanistan,BARAKZAI ANSARI,Sanctioned by OFAC,OFAC,Individual
Afghanistan,NOORULLAH,Sanctioned by OFAC,OFAC,Individual
Afghanistan,NOOR,Sanctioned by OFAC,OFAC,Individual
Unknown,MOHAMMAD AFZAL,Sanctioned by OFAC,OFAC,Individual
Unknown,HAJI ABDUL QAYOUM,Sanctioned by OFAC,OFAC,Individual
Iran,JAFARI DOLATABADI,Sanctioned by OFAC,OFAC,Individual
Indonesia,ABDUL RAHMAN,Sanctioned by OFAC,OFAC,Individual
Unknown,PATEK,Sanctioned by OFAC,OFAC,Individual
Germany,SHAYESTEH,Sanctioned by OFAC,OFAC,Individual
Germany,INTERCONTINENTAL BAUMASCHINEN UND NUTZFAHRZEUGE HANDELS GMBH,Sanctioned by OFAC,OFAC,Entity
Greece,SECT OF REVOLUTIONARIES,Sanctioned by OFAC,OFAC,Entity
Unknown,QADHAFI,Sanctioned by OFAC,OFAC,Individual
Unknown,GADDAFI,Sanctioned by OFAC,OFAC,Individual
Afghanistan,ISHAQZAI,Sanctioned by OFAC,OFAC,Individual
United Arab Emirates,KOLBAYEV,Sanctioned by OFAC,OFAC,Individual
Unknown,FARKASH,Sanctioned by OFAC,OFAC,Individual
Libya,DORDA,Sanctioned by OFAC,OFAC,Individual
Unknown,MATUQ,Sanctioned by OFAC,OFAC,Individual
Unknown,JABIR,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-SENUSSI,Sanctioned by OFAC,OFAC,Individual
Unknown,DE GARIKOITZ ASPIAZU RUBINA,Sanctioned by OFAC,OFAC,Individual
Unknown,DE FRUTOS,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-ASIRI,Sanctioned by OFAC,OFAC,Individual
Unknown,ZLITNI,Sanctioned by OFAC,OFAC,Individual
Libya,GADDAFI INTERNATIONAL CHARITY AND DEVELOPMENT FOUNDATION,Sanctioned by OFAC,OFAC,Entity
Libya,WAATASEMU CHARITY ASSOCIATION,Sanctioned by OFAC,OFAC,Entity
Unknown,AL BAGHDADI,Sanctioned by OFAC,OFAC,Individual
"Korea, North",BANK OF EAST LAND,Sanctioned by OFAC,OFAC,Entity
Unknown,MAMLUK,Sanctioned by OFAC,OFAC,Individual
Syria,NAJIB,Sanctioned by OFAC,OFAC,Individual
Syria,AL-ASSAD,Sanctioned by OFAC,OFAC,Individual
Syria,SYRIAN GENERAL INTELLIGENCE DIRECTORATE,Sanctioned by OFAC,OFAC,Entity
Iran,BASIJ RESISTANCE FORCE,Sanctioned by OFAC,OFAC,Entity
Unknown,ARMY OF ISLAM,Sanctioned by OFAC,OFAC,Entity
Unknown,AL-SHARA,Sanctioned by OFAC,OFAC,Individual
Unknown,SAFAR,Sanctioned by OFAC,OFAC,Individual
Unknown,MAHMOUD,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-SHAAR,Sanctioned by OFAC,OFAC,Individual
Unknown,SYRIAN AIR FORCE INTELLIGENCE,Sanctioned by OFAC,OFAC,Entity
Syria,SYRIAN NATIONAL SECURITY BUREAU,Sanctioned by OFAC,OFAC,Entity
Syria,SYRIAN MILITARY INTELLIGENCE DIRECTORATE,Sanctioned by OFAC,OFAC,Entity
Syria,CHAM HOLDING,Sanctioned by OFAC,OFAC,Entity
Syria,BENA PROPERTIES,Sanctioned by OFAC,OFAC,Entity
Syria,AL MASHREQ INVESTMENT FUND,Sanctioned by OFAC,OFAC,Entity
Unknown,QUDSIYAH,Sanctioned by OFAC,OFAC,Individual
Unknown,ZAITOUN,Sanctioned by OFAC,OFAC,Individual
Unknown,CHIZARI,Sanctioned by OFAC,OFAC,Individual
Mexico,INZUNZA INZUNZA,Sanctioned by OFAC,OFAC,Individual
Unknown,NYAKINIYWA,Sanctioned by OFAC,OFAC,Individual
Unknown,MWAU,Sanctioned by OFAC,OFAC,Individual
Unknown,CALLE SERNA,Sanctioned by OFAC,OFAC,Individual
Unknown,CAUCASUS EMIRATE,Sanctioned by OFAC,OFAC,Entity
Unknown,MOGHADAM,Sanctioned by OFAC,OFAC,Individual
Unknown,LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN,Sanctioned by OFAC,OFAC,Entity
Mexico,BELLOSO RODRIGUEZ,Sanctioned by OFAC,OFAC,Individual
Mexico,GALAVIZ MARTIN,Sanctioned by OFAC,OFAC,Individual
Mexico,VASQUEZ HERNANDEZ,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-GHAMDI,Sanctioned by OFAC,OFAC,Individual
Unknown,BAGHBANI,Sanctioned by OFAC,OFAC,Individual
Iran,SHAHRIYARI,Sanctioned by OFAC,OFAC,Individual
Iran,BEHNAM SHAHRIYARI TRADING COMPANY,Sanctioned by OFAC,OFAC,Entity
Unknown,WAZIR,Sanctioned by OFAC,OFAC,Individual
Unknown,RABI,Sanctioned by OFAC,OFAC,Individual
Unknown,AKHUND,Sanctioned by OFAC,OFAC,Individual
Iran,MEHR-E EQTESAD-E IRANIAN INVESTMENT COMPANY,Sanctioned by OFAC,OFAC,Entity
Iran,TIDEWATER MIDDLE EAST CO.,Sanctioned by OFAC,OFAC,Entity
Unknown,HASSAN,Sanctioned by OFAC,OFAC,Individual
Syria,POLITICAL SECURITY DIRECTORATE,Sanctioned by OFAC,OFAC,Entity
Japan,YAKUZA,Sanctioned by OFAC,OFAC,Entity
Italy,CAMORRA,Sanctioned by OFAC,OFAC,Entity
Unknown,HAMMAMI,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-'AJMI,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-KUWARI,Sanctioned by OFAC,OFAC,Individual
Unknown,KHAWAR,Sanctioned by OFAC,OFAC,Individual
Unknown,MUHAMMADI,Sanctioned by OFAC,OFAC,Individual
Syria,HAMSHO,Sanctioned by OFAC,OFAC,Individual
Syria,HAMSHO INTERNATIONAL GROUP,Sanctioned by OFAC,OFAC,Entity
Syria,COMMERCIAL BANK OF SYRIA,Sanctioned by OFAC,OFAC,Entity
Lebanon,SYRIAN LEBANESE COMMERCIAL BANK,Sanctioned by OFAC,OFAC,Entity
Belarus,NAFTAN OAO,Sanctioned by OFAC,OFAC,Entity
Belarus,GRODNO AZOT OAO,Sanctioned by OFAC,OFAC,Entity
Belarus,GRODNO KHIMVOLOKNO OAO,Sanctioned by OFAC,OFAC,Entity
Belarus,BELSHINA OAO,Sanctioned by OFAC,OFAC,Entity
Unknown,DUGHMUSH,Sanctioned by OFAC,OFAC,Individual
Syria,GENERAL PETROLEUM CORPORATION,Sanctioned by OFAC,OFAC,Entity
Syria,SYRIAN PETROLEUM COMPANY,Sanctioned by OFAC,OFAC,Entity
Unknown,KARIM ALI,Sanctioned by OFAC,OFAC,Individual
Syria,SYTROL,Sanctioned by OFAC,OFAC,Entity
Syria,SYRIAN COMPANY FOR OIL TRANSPORT,Sanctioned by OFAC,OFAC,Entity
Syria,SYRIAN GAS COMPANY,Sanctioned by OFAC,OFAC,Entity
Unknown,GOITOM,Sanctioned by OFAC,OFAC,Individual
Unknown,NEGASH,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-MOALLEM,Sanctioned by OFAC,OFAC,Individual
Syria,SHAABAN,Sanctioned by OFAC,OFAC,Individual
Venezuela,FIGUEROA SALAZAR,Sanctioned by OFAC,OFAC,Individual
Venezuela,BERNAL ROSALES,Sanctioned by OFAC,OFAC,Individual
Unknown,SALIM,Sanctioned by OFAC,OFAC,Individual
Colombia,IMPORTADORA SILVANIA,Sanctioned by OFAC,OFAC,Entity
Venezuela,"IMPORTADORA SILVANIA, C.A.",Sanctioned by OFAC,OFAC,Entity
Colombia,BODEGA MICHIGAN,Sanctioned by OFAC,OFAC,Entity
Ecuador,COMERCIALIZADORA EMPRESARIAL TEAM BUSINESS S.A.,Sanctioned by OFAC,OFAC,Entity
India,INDIAN MUJAHIDEEN,Sanctioned by OFAC,OFAC,Entity
Unknown,MUKULU,Sanctioned by OFAC,OFAC,Individual
Pakistan,IQBAL,Sanctioned by OFAC,OFAC,Individual
Unknown,BHUTTAVI,Sanctioned by OFAC,OFAC,Individual
Unknown,LIZASO,Sanctioned by OFAC,OFAC,Individual
Unknown,ABU GHAZALA,Sanctioned by OFAC,OFAC,Individual
Pakistan,REHMAN,Sanctioned by OFAC,OFAC,Individual
Unknown,ABBASIN,Sanctioned by OFAC,OFAC,Individual
Iraq,AL-BADRI,Sanctioned by OFAC,OFAC,Individual
Iran,MAHAN AIR,Sanctioned by OFAC,OFAC,Entity
Greece,CONSPIRACY OF FIRE NUCLEI,Sanctioned by OFAC,OFAC,Entity
United States,ARBABSIAR,Sanctioned by OFAC,OFAC,Individual
Unknown,ABDOLLAHI,Sanctioned by OFAC,OFAC,Individual
Iran,SHAKURI,Sanctioned by OFAC,OFAC,Individual
Syria,REAL ESTATE BANK,Sanctioned by OFAC,OFAC,Entity
Iran,IRAN CENTRIFUGE TECHNOLOGY COMPANY,Sanctioned by OFAC,OFAC,Entity
Unknown,ARAGHI,Sanctioned by OFAC,OFAC,Individual
Unknown,FIROUZABADI,Sanctioned by OFAC,OFAC,Individual
Iran,PAYA PARTOV CO.,Sanctioned by OFAC,OFAC,Entity
